run_id,model,prompt_id,rag_index,scope,n,tp,fp,tn,fn,invalid,recall,recall_lo,recall_hi,fpr,fpr_lo,fpr_hi,precision,precision_lo,precision_hi,f1,f1_lo,f1_hi,latency_mean,latency_median,tokens_in_mean,tokens_out_mean
main,qwen2.5-coder:7b,p1,,shai_hulud_w3,5,4,0,0,1,0,0.8,0.4,1.0,,,,1.0,1.0,1.0,0.8888888888888888,0.5714285714285714,1.0,12.297999999999998,10.4,1460.2,198.0
main,qwen2.5-coder:7b,p1,,benigno_popolare,20,0,8,12,0,0,,,,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,12.734599999999999,9.399000000000001,1596.9,173.85
main,qwen2.5-coder:7b,p1,,benigno_difficile,20,0,9,11,0,0,,,,0.45,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,11.4796,10.8065,1236.9,189.6
main,qwen2.5-coder:7b,p1,,pulito_accoppiato,14,0,5,9,0,0,,,,0.35714285714285715,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,8.353428571428573,7.813000000000001,917.2142857142857,147.21428571428572
main,qwen2.5-coder:7b,p2,,all,109,46,24,30,9,1,0.8363636363636363,0.7307692307692307,0.9298548094373865,0.4444444444444444,0.317016711833785,0.5806744868035191,0.6571428571428571,0.5540488565488566,0.7638888888888888,0.736,0.6440677966101694,0.8142989417989418,15.865467889908256,12.312,2570.348623853211,269.5045871559633
main,qwen2.5-coder:7b,p2,,shai_hulud,15,15,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,14.938866666666664,14.407,2740.0666666666666,240.06666666666666
main,qwen2.5-coder:7b,p2,,nato_malevolo,28,23,0,0,5,1,0.8214285714285714,0.6785714285714286,0.9642857142857143,,,,1.0,1.0,1.0,0.9019607843137255,0.8085106382978723,0.9818181818181818,16.49764285714286,11.2125,2405.285714285714,318.7857142857143
main,qwen2.5-coder:7b,p2,,compromesso,12,8,0,0,4,0,0.6666666666666666,0.4166666666666667,0.9166666666666666,,,,1.0,1.0,1.0,0.8,0.5882352941176471,0.9565217391304348,12.191666666666668,11.251,2500.3333333333335,190.5
main,qwen2.5-coder:7b,p2,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,10.337,9.175,2342.4,158.6
main,qwen2.5-coder:7b,p2,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,16.0394,14.735,3080.6,238.4
main,qwen2.5-coder:7b,p2,,shai_hulud_w3,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,18.440199999999997,12.729,2797.2,323.2
main,qwen2.5-coder:7b,p2,,benigno_popolare,20,0,9,11,0,0,,,,0.45,0.25,0.65,0.0,0.0,0.0,0.0,0.0,0.0,19.8994,13.968,2933.9,310.35
main,qwen2.5-coder:7b,p2,,benigno_difficile,20,0,10,10,0,0,,,,0.5,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,14.492949999999999,10.046,2573.9,246.05
main,qwen2.5-coder:7b,p2,,pulito_accoppiato,14,0,5,9,0,0,,,,0.35714285714285715,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,14.940857142857139,11.007,2254.214285714286,245.35714285714286
main,qwen2.5-coder:7b,p3,storico_base,all,109,45,22,32,10,0,0.8181818181818182,0.7058278867102397,0.912299771167048,0.4074074074074074,0.27446524064171124,0.5384615384615384,0.6716417910447762,0.5666447368421053,0.7762017120280947,0.7377049180327869,0.6428571428571429,0.8208955223880597,15.638798165137615,13.798,2548.7798165137615,175.43119266055047
main,qwen2.5-coder:7b,p3,storico_base,shai_hulud,15,14,0,0,1,0,0.9333333333333333,0.8,1.0,,,,1.0,1.0,1.0,0.9655172413793104,0.8888888888888888,1.0,17.2274,16.678,3028.9333333333334,176.73333333333332
main,qwen2.5-coder:7b,p3,storico_base,nato_malevolo,28,24,0,0,4,0,0.8571428571428571,0.7142857142857143,0.9642857142857143,,,,1.0,1.0,1.0,0.9230769230769231,0.8333333333333334,0.9818181818181818,14.6575,12.624,2271.1785714285716,176.64285714285714
main,qwen2.5-coder:7b,p3,storico_base,compromesso,12,7,0,0,5,0,0.5833333333333334,0.3333333333333333,0.8333333333333334,,,,1.0,1.0,1.0,0.7368421052631579,0.5,0.9090909090909091,15.087416666666668,13.1175,2427.5833333333335,169.16666666666666
main,qwen2.5-coder:7b,p3,storico_base,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,16.304199999999998,16.4,2644.8,179.2
